id,lekwungen_word
880,ƛ̓al̓nəč čyəwən
881,ƛ̓amtxʷ
882,ƛ̓am̓
883,ƛ̓am̓
884,ƛ̓čeqəŋ
885,ƛ̓čes
886,ƛ̓číləŋ
887,ƛ̓číqən
888,ƛ̓eʔ
889,ƛ̓eʔéšən
890,ƛ̓ec
891,ƛ̓eca
892,ƛ̓eč̓íʔtəŋ
893,ƛ̓en
894,ƛ̓eqt láʔsən
895,ƛ̓eqt ɬqelč
896,ƛ̓es
897,ƛ̓ew̓
898,ƛ̓eyəq̓əs
899,ƛ̓ikʷeʔnəŋ
900,ƛ̓iƛíw̓
901,ƛ̓leʔt
902,ƛ̓léʔəŋ
903,ƛ̓ƛ̓čes
904,ƛ̓píxəŋ
905,ƛ̓pə́x̣t
906,ƛ̓šíqʷ
907,ƛ̓šə́nəp
908,ƛ̓xʷist
909,ƛ̓xʷíʔqʷən
910,ƛ̓xʷəlíqʷəŋ
911,ƛ̓xʷə́təŋ
912,ƛ̓ák̓ʷəɬ
913,ƛ̓áƛ̓əm̓stəxʷ
914,ƛ̓ápas
915,ƛ̓éʔ kʷɬqəlét skʷéčəl
916,ƛ̓éʔp̓ət
917,ƛ̓éʔsəŋ
918,ƛ̓éčəɬ
919,ƛ̓éčəɬ ƛ̓əč
920,ƛ̓ék̓ʷəx̣ən
921,ƛ̓él̓əč̓
922,ƛ̓éɬəŋ
923,ƛ̓éɬəŋ qʷaʔ
924,ƛ̓éšən
925,ƛ̓éw̓əq
926,ƛ̓íʔkʷəs
927,ƛ̓íč̓ət
928,ƛ̓əcéčən
929,ƛ̓əč
930,ƛ̓əč
931,ƛ̓əčqénəŋ; ƛ̓əčqəniŋ
932,ƛ̓əč̓elʔs
933,ƛ̓ək̓ʷ
934,ƛ̓əlƛ̓ə́q̓ʷ
935,ƛ̓əléy̓
936,ƛ̓əƛ̓ay̓əč̓ siʔétən
937,ƛ̓əƛ̓áy̓əč
938,ƛ̓əƛ̓éčəs
939,ƛ̓əƛ̓éyəqəs
940,ƛ̓əƛ̓əléy̓
941,ƛ̓əməléčəŋ
942,ƛ̓ənqʔéw̓txʷ
